epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,185.503,2.378,2.36117,0.00362,0.28768,0.17409,0.12616,0.06736,2.13221,2.08935,0.00436,0.00033251,0.00033251,0.0670815
2,365.057,2.28876,1.87588,0.0033,0.37192,0.24822,0.19649,0.10937,2.15396,1.90482,0.00417,0.000643871,0.000643871,0.0340595
3,544.521,2.2455,1.75487,0.00315,0.35959,0.26776,0.22898,0.13409,2.03235,1.60237,0.00394,0.000933231,0.000933231,0.00101554
4,725.772,2.19525,1.67151,0.00307,0.41665,0.2852,0.26066,0.15399,1.99595,1.57853,0.00391,0.000901,0.000901,0.000901
5,911.19,2.16864,1.62252,0.00303,0.45254,0.2927,0.28397,0.17061,1.96862,1.47028,0.00379,0.000868,0.000868,0.000868
6,1098.27,2.1706,1.59264,0.00298,0.46324,0.31417,0.29786,0.17864,1.95596,1.46062,0.00374,0.000835,0.000835,0.000835
7,1283.16,2.14245,1.55517,0.00296,0.49712,0.31382,0.30944,0.18586,1.95328,1.46114,0.00382,0.000802,0.000802,0.000802
8,1457.62,2.1373,1.52653,0.00289,0.49005,0.32162,0.32125,0.19399,1.9124,1.42134,0.00369,0.000769,0.000769,0.000769
9,1631.54,2.11094,1.51313,0.00289,0.46285,0.34212,0.33178,0.19587,1.9433,1.44731,0.00366,0.000736,0.000736,0.000736
10,1807.35,2.11283,1.49915,0.00286,0.45566,0.34959,0.33434,0.1986,1.90504,1.42967,0.00361,0.000703,0.000703,0.000703
11,1984.64,2.09465,1.47502,0.00282,0.48508,0.33813,0.33016,0.19872,1.893,1.42458,0.00354,0.00067,0.00067,0.00067
12,202.702,2.09073,1.46958,0.0028,0.52086,0.33933,0.34862,0.20929,1.89859,1.35535,0.00358,0.000637,0.000637,0.000637
13,377.103,2.07352,1.44428,0.00278,0.49363,0.35269,0.3517,0.21036,1.902,1.37755,0.00354,0.000604,0.000604,0.000604
14,548.805,2.07779,1.44271,0.00275,0.48236,0.35867,0.35152,0.2107,1.88888,1.36121,0.00355,0.000571,0.000571,0.000571
15,718.754,2.04698,1.41654,0.00273,0.52346,0.35143,0.35565,0.21319,1.88058,1.34758,0.00351,0.000538,0.000538,0.000538
16,888.539,2.03922,1.40219,0.00273,0.51611,0.35287,0.35846,0.21642,1.85272,1.33132,0.00348,0.000505,0.000505,0.000505
17,1059.75,2.04937,1.40618,0.0027,0.51948,0.37049,0.36757,0.2204,1.87014,1.33703,0.00348,0.000472,0.000472,0.000472
18,1226.84,2.02927,1.38623,0.0027,0.50185,0.37544,0.36664,0.21697,1.86268,1.42653,0.00346,0.000439,0.000439,0.000439
19,1392.23,2.03091,1.37455,0.00265,0.52514,0.371,0.3765,0.22733,1.8504,1.30183,0.00347,0.000406,0.000406,0.000406
20,1559.8,2.01169,1.36499,0.00266,0.52528,0.37409,0.37744,0.22729,1.85404,1.32185,0.00344,0.000373,0.000373,0.000373
21,1722.42,1.95212,1.34068,0.00275,0.5515,0.35912,0.3768,0.22964,1.84914,1.31601,0.00344,0.00034,0.00034,0.00034
22,1884.9,1.94013,1.31845,0.00271,0.53647,0.36299,0.37571,0.22691,1.85585,1.31652,0.00344,0.000307,0.000307,0.000307
23,2047.23,1.92854,1.3026,0.0027,0.52604,0.37747,0.37918,0.22895,1.84672,1.29474,0.00342,0.000274,0.000274,0.000274
24,2205.2,1.91613,1.29019,0.00267,0.53074,0.36983,0.37577,0.22958,1.84267,1.308,0.00341,0.000241,0.000241,0.000241
25,2360.69,1.92041,1.29113,0.00267,0.53199,0.36805,0.37693,0.22912,1.83741,1.30708,0.00339,0.000208,0.000208,0.000208
26,2524.23,1.90545,1.2804,0.00265,0.52862,0.37531,0.38321,0.23399,1.82837,1.29236,0.00339,0.000175,0.000175,0.000175
27,2686.8,1.90035,1.27878,0.00264,0.52325,0.38336,0.38364,0.23326,1.82689,1.28424,0.00337,0.000142,0.000142,0.000142
28,2846.31,1.89716,1.26899,0.00263,0.53287,0.37646,0.38103,0.2332,1.82428,1.2836,0.00336,0.000109,0.000109,0.000109
29,3005.52,1.89263,1.26541,0.00262,0.53299,0.38069,0.38456,0.23386,1.82843,1.27971,0.00337,7.6e-05,7.6e-05,7.6e-05
30,3162.92,1.88435,1.25827,0.00261,0.53166,0.38044,0.38521,0.23458,1.82598,1.27816,0.00336,4.3e-05,4.3e-05,4.3e-05
