image_name,ground_truth,predictions,true_positives,false_negatives,false_positives,small_false_negatives,heavy_occlusion_false_negatives,truncated_false_negatives,classification_confusions,total_errors
0000001_02999_d_0000005.jpg,26,12,8,18,4,10,2,1,3,22
0000001_05249_d_0000009.jpg,85,86,62,23,24,6,12,0,2,47
0000021_00000_d_0000001.jpg,9,6,4,5,2,5,0,0,0,7
0000022_00500_d_0000005.jpg,17,16,9,8,7,8,0,0,0,15
0000023_00300_d_0000009.jpg,14,16,6,8,10,8,3,0,0,18
0000024_01000_d_0000014.jpg,10,2,2,8,0,8,3,0,0,8
0000026_01000_d_0000026.jpg,21,22,21,0,1,0,0,0,0,1
0000026_03000_d_0000030.jpg,12,16,11,1,5,0,1,0,0,6
0000026_04978_d_0000034.jpg,31,29,22,9,7,3,3,2,1,16
0000069_00713_d_0000003.jpg,34,23,19,15,4,8,0,5,0,19
0000069_02480_d_0000007.jpg,58,27,20,38,7,19,17,0,0,45
0000086_00000_d_0000001.jpg,24,26,18,6,8,5,0,0,0,14
0000103_00180_d_0000026.jpg,1,0,0,1,0,0,0,0,0,1
0000103_02964_d_0000030.jpg,4,2,0,4,2,0,0,2,2,6
0000103_04513_d_0000034.jpg,2,2,1,1,1,0,0,0,0,2
0000116_00351_d_0000083.jpg,32,24,14,18,10,18,3,0,1,28
0000117_00112_d_0000087.jpg,110,55,40,70,15,68,1,0,1,85
0000117_03096_d_0000091.jpg,20,34,15,5,19,1,1,0,0,24
0000153_01201_d_0000001.jpg,14,2,2,12,0,12,0,0,0,12
0000154_00401_d_0000001.jpg,14,9,5,9,4,7,1,1,2,13
0000154_02001_d_0000001.jpg,23,24,12,11,12,11,4,0,1,23
0000155_01201_d_0000001.jpg,23,16,11,12,5,12,2,1,1,17
0000162_00801_d_0000001.jpg,18,14,8,10,6,9,1,0,2,16
0000165_04325_d_0000105.jpg,14,15,10,4,5,3,3,0,0,9
0000193_01705_d_0000112.jpg,24,16,12,12,4,11,1,0,0,16
0000193_02606_d_0000117.jpg,5,0,0,5,0,5,0,0,0,5
0000194_00399_d_0000121.jpg,33,30,8,25,22,23,1,0,7,47
0000194_01192_d_0000125.jpg,9,6,4,5,2,3,1,0,0,7
0000213_03478_d_0000242.jpg,77,60,41,36,19,27,1,0,4,55
0000213_05340_d_0000246.jpg,99,68,51,48,17,42,9,0,3,65
0000215_00909_d_0000258.jpg,59,64,43,16,21,9,0,5,3,37
0000215_02932_d_0000263.jpg,41,36,23,18,13,9,4,0,5,31
0000223_01802_d_0000005.jpg,53,32,22,31,10,20,5,0,5,41
0000242_00627_d_0000003.jpg,38,19,15,23,4,22,1,0,0,27
0000242_01475_d_0000007.jpg,53,48,33,20,15,17,1,0,3,35
0000242_03668_d_0000012.jpg,22,16,13,9,3,7,1,2,1,12
